Cancer Type,Sentence
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 861.0 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 0 AND Start_Position > 66203584.0 AND Codons > 602.0 AND Hugo_Symbol <= 138.5 AND SNP_event > 641.0, then the class is Esophageal Carcinoma."
Non Small Cell Lung Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 138.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 861.0 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 0 AND SNP_event <= 1790.5 AND Start_Position > 66203584.0 AND Codons > 602.0 AND Exon_Number <= 479.5, then the class is Non Small Cell Lung Cancer."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 138.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 0 AND SNP_event <= 1267.5 AND Start_Position > 66203584.0 AND Codons > 602.0 AND Exon_Number > 479.5 AND Protein_position <= 937.0, then the class is Gastric Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 138.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 0 AND SNP_event <= 1267.5 AND Start_Position > 66203584.0 AND Codons > 602.0 AND Exon_Number > 479.5 AND Protein_position > 937.0, then the class is Colorectal Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 138.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 0 AND SNP_event <= 1267.5 AND Start_Position > 66203584.0 AND Codons > 602.0 AND Exon_Number > 479.5 AND Protein_position > 1224.5, then the class is Gastric Cancer."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 138.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 0 AND Start_Position > 66203584.0 AND Codons > 602.0 AND Exon_Number > 479.5 AND Protein_position <= 2124.0 AND SNP_event <= 1270.0, then the class is Esophageal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 138.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 0 AND Start_Position > 66203584.0 AND Codons > 602.0 AND Exon_Number > 479.5 AND Protein_position <= 2124.0 AND SNP_event > 1270.0, then the class is Liver Hepatocellular Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 138.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 2124.0 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 0 AND SNP_event <= 1790.5 AND Start_Position > 66203584.0 AND Exon_Number > 479.5 AND Codons <= 729.0, then the class is Colorectal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 138.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 0 AND SNP_event <= 1790.5 AND Start_Position > 66203584.0 AND Codons > 729.0 AND Exon_Number <= 1589.5 AND Protein_position <= 3844.5, then the class is Liver Hepatocellular Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 138.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 3844.5 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 0 AND SNP_event <= 1790.5 AND Start_Position > 66203584.0 AND Codons > 729.0 AND Exon_Number <= 1589.5, then the class is Colorectal Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 138.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 2124.0 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 0 AND SNP_event <= 1790.5 AND Start_Position > 66203584.0 AND Codons > 729.0 AND Exon_Number > 1589.5, then the class is Esophageal Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 39.0 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 861.0 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 0 AND SNP_event <= 1790.5 AND Start_Position > 66203584.0 AND Codons > 2400.0, then the class is Gastric Cancer."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 544.5 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 0 AND SNP_event > 1790.5 AND Hugo_Symbol <= 368.5, then the class is Gastric Cancer."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 368.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 544.5 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 0 AND SNP_event > 1790.5, then the class is Pancreatic Cancer."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 544.5 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 0 AND chr_20 is 1, then the class is Esophageal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 15.5 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 0 AND chr_13 is 1, then the class is Colorectal Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 15.5 AND Diagnosis Age <= 72.5 AND End_Position > 21971126.0 AND stop_gained is 1 AND Exon_Number <= 169.0, then the class is Gastric Cancer."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 15.5 AND Diagnosis Age <= 71.5 AND End_Position > 21971126.0 AND stop_gained is 1 AND Exon_Number > 169.0 AND Start_Position <= 43383984.0, then the class is Pancreatic Cancer."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 15.5 AND Diagnosis Age <= 71.5 AND End_Position > 21971126.0 AND stop_gained is 1 AND Start_Position > 43383984.0 AND Exon_Number <= 535.5, then the class is Esophageal Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 15.5 AND Diagnosis Age <= 71.5 AND End_Position > 21971126.0 AND stop_gained is 1 AND Exon_Number > 535.5 AND Start_Position > 43383984.0 AND Hugo_Symbol <= 120.5, then the class is Gastric Cancer."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 120.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 15.5 AND Diagnosis Age <= 71.5 AND End_Position > 21971126.0 AND stop_gained is 1 AND Exon_Number > 535.5 AND Start_Position > 43383984.0 AND chr_3 is 0, then the class is Esophageal Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 120.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 15.5 AND Diagnosis Age <= 71.5 AND End_Position > 21971126.0 AND stop_gained is 1 AND Exon_Number > 535.5 AND Start_Position > 43383984.0 AND chr_3 is 1, then the class is Gastric Cancer."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 15.5 AND End_Position > 21971126.0 AND stop_gained is 1 AND Diagnosis Age > 71.5 AND Exon_Number <= 231.5, then the class is Extrahepatic Cholangiocarcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 15.5 AND End_Position > 21971126.0 AND stop_gained is 1 AND Diagnosis Age > 71.5 AND Exon_Number > 231.5, then the class is Esophageal Carcinoma."
Non Small Cell Lung Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 15.5 AND End_Position > 21971126.0 AND stop_gained is 1 AND Exon_Number > 404.5 AND Diagnosis Age > 71.5 AND Hugo_Symbol <= 264.0, then the class is Non Small Cell Lung Cancer."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 15.5 AND End_Position > 21971126.0 AND stop_gained is 1 AND Exon_Number > 404.5 AND Diagnosis Age > 71.5 AND Hugo_Symbol <= 339.0, then the class is Gastric Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 339.0 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position > 15.5 AND End_Position > 21971126.0 AND stop_gained is 1 AND Exon_Number > 404.5 AND Diagnosis Age > 71.5, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND chr_9 is 0 AND chr_6 is 0 AND Codons <= 1100.5 AND chr_8 is 0 AND End_Position <= 16923949.5, then the class is Colorectal Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND chr_9 is 0 AND chr_6 is 0 AND Codons <= 1100.5 AND chr_8 is 0 AND End_Position <= 24036149.0, then the class is Esophageal Carcinoma."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND chr_9 is 0 AND chr_6 is 0 AND Codons <= 1100.5 AND chr_8 is 0 AND End_Position <= 45298544.0, then the class is Extrahepatic Cholangiocarcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND chr_9 is 0 AND chr_6 is 0 AND Codons <= 1100.5 AND chr_8 is 0 AND End_Position > 45298544.0 AND Exon_Number <= 474.5, then the class is Colorectal Carcinoma."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND chr_9 is 0 AND chr_6 is 0 AND Codons <= 1100.5 AND chr_8 is 0 AND End_Position > 45298544.0 AND Exon_Number > 474.5, then the class is Extrahepatic Cholangiocarcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND chr_9 is 0 AND chr_6 is 0 AND Codons <= 1100.5 AND chr_8 is 1, then the class is Liver Hepatocellular Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND chr_9 is 0 AND chr_6 is 0 AND Codons <= 2957.0 AND Hugo_Symbol <= 260.0 AND missense_variant is 0, then the class is Liver Hepatocellular Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND chr_9 is 0 AND chr_6 is 0 AND Codons <= 2957.0 AND Hugo_Symbol <= 260.0 AND missense_variant is 1 AND End_Position <= 55409920.0, then the class is Colorectal Carcinoma."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND chr_9 is 0 AND chr_6 is 0 AND Codons <= 2957.0 AND Hugo_Symbol <= 260.0 AND missense_variant is 1 AND End_Position > 55409920.0 AND chr_11 is 0, then the class is Extrahepatic Cholangiocarcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND chr_9 is 0 AND chr_6 is 0 AND Codons <= 2957.0 AND Hugo_Symbol <= 260.0 AND missense_variant is 1 AND End_Position > 55409920.0 AND chr_11 is 1, then the class is Esophageal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 260.0 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND chr_9 is 0 AND chr_6 is 0 AND Codons <= 2957.0, then the class is Liver Hepatocellular Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND chr_9 is 0 AND chr_6 is 0 AND Codons > 2957.0, then the class is Colorectal Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND chr_9 is 0 AND chr_6 is 1, then the class is Esophageal Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND chr_9 is 1, then the class is Esophageal Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Hugo_Symbol <= 326.5 AND Start_Position <= 404790.0, then the class is Gastric Cancer."
Non Small Cell Lung Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Hugo_Symbol <= 326.5 AND Start_Position > 404790.0, then the class is Non Small Cell Lung Cancer."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Hugo_Symbol <= 326.5 AND Start_Position > 58535804.0 AND SNP_event <= 832.5, then the class is Extrahepatic Cholangiocarcinoma."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Hugo_Symbol <= 326.5 AND Start_Position > 58535804.0 AND SNP_event > 832.5 AND chr_X is 0 AND Exon_Number <= 167.5 AND Protein_position <= 149.0 AND chr_5 is 0, then the class is Extrahepatic Cholangiocarcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Hugo_Symbol <= 326.5 AND Start_Position > 58535804.0 AND SNP_event > 832.5 AND chr_X is 0 AND Exon_Number <= 167.5 AND Protein_position <= 149.0 AND chr_5 is 1, then the class is Gastric Cancer."
Non Small Cell Lung Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 149.0 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Hugo_Symbol <= 326.5 AND Start_Position > 58535804.0 AND SNP_event > 832.5 AND chr_X is 0 AND Exon_Number <= 167.5, then the class is Non Small Cell Lung Cancer."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Hugo_Symbol <= 326.5 AND Start_Position > 58535804.0 AND SNP_event > 832.5 AND chr_X is 0 AND Exon_Number > 167.5, then the class is Gastric Cancer."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Hugo_Symbol <= 326.5 AND Start_Position > 58535804.0 AND SNP_event > 832.5 AND chr_X is 1, then the class is Extrahepatic Cholangiocarcinoma."
Non Small Cell Lung Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 326.5 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND TMB (nonsynonymous) > 0.28333334624767303, then the class is Non Small Cell Lung Cancer."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.3166666775941849 AND Protein_position > 15.5 AND Diagnosis Age <= 73.5 AND SNP_event <= 832.5, then the class is Liver Hepatocellular Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.3166666775941849 AND Diagnosis Age <= 73.5 AND SNP_event > 832.5 AND Protein_position <= 179.0, then the class is Liver Hepatocellular Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.3166666775941849 AND Protein_position > 179.0 AND Diagnosis Age <= 73.5 AND SNP_event > 832.5 AND Start_Position <= 20081306.5, then the class is Liver Hepatocellular Carcinoma."
Intrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.3166666775941849 AND Protein_position > 179.0 AND Diagnosis Age <= 73.5 AND SNP_event > 832.5 AND Start_Position > 20081306.5 AND chr_8 is 0, then the class is Intrahepatic Cholangiocarcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.3166666775941849 AND Protein_position > 179.0 AND Diagnosis Age <= 73.5 AND SNP_event > 832.5 AND Start_Position > 20081306.5 AND chr_8 is 1, then the class is Liver Hepatocellular Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) <= 0.28333334624767303, then the class is Colorectal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Exon_Number <= 64.0, then the class is Liver Hepatocellular Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Exon_Number > 64.0 AND Hugo_Symbol <= 138.0 AND chr_8 is 0 AND Codons <= 720.5, then the class is Gastric Cancer."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Exon_Number > 64.0 AND Hugo_Symbol <= 138.0 AND chr_8 is 0 AND Codons > 720.5 AND chr_X is 0 AND Start_Position <= 46098494.0 AND chr_19 is 0, then the class is Gastric Cancer."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Exon_Number > 64.0 AND Hugo_Symbol <= 138.0 AND chr_8 is 0 AND Codons > 720.5 AND chr_X is 0 AND Start_Position <= 46098494.0 AND chr_19 is 1, then the class is Esophageal Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Exon_Number > 64.0 AND Hugo_Symbol <= 138.0 AND chr_8 is 0 AND Codons > 720.5 AND chr_X is 0 AND Start_Position > 46098494.0, then the class is Esophageal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Exon_Number > 64.0 AND Hugo_Symbol <= 138.0 AND chr_8 is 0 AND Codons > 720.5 AND chr_X is 1, then the class is Colorectal Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Exon_Number > 64.0 AND chr_8 is 0 AND Hugo_Symbol > 138.0, then the class is Gastric Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Exon_Number > 64.0 AND Hugo_Symbol <= 316.5 AND chr_8 is 1, then the class is Colorectal Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 316.5 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Exon_Number > 64.0 AND End_Position <= 38271932.5 AND Protein_position <= 226.0, then the class is Esophageal Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 316.5 AND Protein_position > 226.0 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Exon_Number > 64.0 AND End_Position <= 7577106.5, then the class is Esophageal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 316.5 AND Protein_position > 226.0 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Exon_Number > 64.0 AND End_Position > 7577106.5, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 316.5 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Exon_Number > 64.0 AND End_Position > 38271932.5, then the class is Colorectal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Exon_Number > 504.5 AND Start_Position <= 71388512.0, then the class is Liver Hepatocellular Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Start_Position > 71388512.0 AND Exon_Number <= 790.5, then the class is Liver Hepatocellular Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND TMB (nonsynonymous) > 0.28333334624767303 AND Exon_Number > 790.5 AND Start_Position > 71388512.0, then the class is Esophageal Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.3166666775941849 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND VAR_TYPE_SX is 0 AND Codons <= 2050.0 AND chr_8 is 0, then the class is Esophageal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.3166666775941849 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND VAR_TYPE_SX is 0 AND Codons <= 2050.0 AND chr_8 is 1, then the class is Colorectal Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND TMB (nonsynonymous) > 0.3166666775941849 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND VAR_TYPE_SX is 0 AND Codons > 2050.0 AND Hugo_Symbol <= 166.0, then the class is Esophageal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 166.0 AND TMB (nonsynonymous) > 0.3166666775941849 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND VAR_TYPE_SX is 0 AND Codons > 2050.0, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND TMB (nonsynonymous) > 0.3166666775941849 AND Protein_position > 15.5 AND Diagnosis Age > 73.5 AND VAR_TYPE_SX is 1, then the class is Colorectal Carcinoma."
Non Small Cell Lung Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Diagnosis Age <= 76.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Variant_Type <= 1.0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Diagnosis Age <= 76.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Variant_Type > 1.0 AND Start_Position <= 7576974.5 AND chr_7 is 0, then the class is Non Small Cell Lung Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND Hugo_Symbol > 10.5 AND Diagnosis Age <= 76.5 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Variant_Type > 1.0 AND Start_Position <= 7576974.5 AND chr_7 is 1, then the class is Colorectal Carcinoma."
